Name,Author,Teleport Command,Notes,Category,Entry Type
sex fetish disease guy's kit,Unknown Author,/tp @s -30.5 47 -64.5 90 0,,PvP-Related,Kit
Shade Set,Shyrix,/tp @s -30.5 47 -65.5 90 0,,PvP-Related,Kit
ShadowLightGalaxy Kit,Unknown Author,/tp @s -30.5 47 -66.5 90 0,,PvP-Related,Kit
Shrek Shake,Unknown Author,/tp @s -30.5 47 -67.5 90 0,,PvP-Related,Kit
Skeleton,GioVarquez,/tp @s -30.5 45 -59.5 90 0,,PvP-Related,Kit
soda case,justin0526,/tp @s -30.5 45 -60.5 90 0,,PvP-Related,Kit
Sollee Sauce 4 Pack,DashTheDevilDog,/tp @s -30.5 45 -61.5 90 0,,PvP-Related,Kit
SPY,Unknown Author,/tp @s -30.5 45 -62.5 90 0,,PvP-Related,Kit
Steve Viruses,Unknown Author,/tp @s -30.5 45 -63.5 90 0,,PvP-Related,Kit
SuperWeapons,Unknown Author,/tp @s -30.5 45 -64.5 90 0,,PvP-Related,Kit
Sword pack sword pack,Unknown Author,/tp @s -30.5 45 -65.5 90 0,,PvP-Related,Kit
Swords,Unknown Author,/tp @s -30.5 45 -66.5 90 0,,PvP-Related,Kit
Telephone's box of tricksies,Telephone,/tp @s -30.5 45 -67.5 90 0,,PvP-Related,Kit
Telephone's box of TROLLING,Telephone,/tp @s -30.5 43 -59.5 90 0,,PvP-Related,Kit
The Forgotten Box,Unknown Author,/tp @s -30.5 43 -60.5 90 0,,PvP-Related,Kit
The GOD set,Finnyblock,/tp @s -30.5 43 -61.5 90 0,,PvP-Related,Kit
The GOD set V2,Finnyblock,/tp @s -30.5 43 -62.5 90 0,,PvP-Related,Kit
THE STAFF KIT,"QuacktasticMC, r00t",/tp @s -30.5 43 -63.5 90 0,,PvP-Related,Kit
The STRONGEST Dispenser,Unknown Author,/tp @s -30.5 43 -64.5 90 0,,PvP-Related,Kit
The Ultimate Phase,Unknown Author,/tp @s -30.5 43 -65.5 90 0,,PvP-Related,Kit
TooManyItems Collection,Unknown Author,/tp @s -30.5 43 -66.5 90 0,,PvP-Related,Kit
Top Tier Kit,FleshlyIsTaken,/tp @s -30.5 43 -67.5 90 0,,PvP-Related,Kit
TOXIC ITEMS,Unknown Author,/tp @s -30.5 41 -59.5 90 0,,PvP-Related,Kit
TOXIC ITEMS 5,Unknown Author,/tp @s -30.5 41 -60.5 90 0,,PvP-Related,Kit
TrolledKit.XDD,"NightSoft, BananaTheGamerYt",/tp @s -30.5 41 -61.5 90 0,,PvP-Related,Kit
Troll Potions,Unknown Author,/tp @s -30.5 41 -62.5 90 0,,PvP-Related,Kit
UpFromAbove P1.0,gingowori,/tp @s -30.5 41 -63.5 90 0,,PvP-Related,Kit
VET,GioVarquez,/tp @s -30.5 41 -64.5 90 0,,PvP-Related,Kit
VEX Kit V1,GioVarquez,/tp @s -30.5 41 -65.5 90 0,,PvP-Related,Kit
Weapons,NukeCoderX,/tp @s -30.5 41 -66.5 90 0,,PvP-Related,Kit
Weapons of Sin,Giratina,/tp @s -30.5 41 -67.5 90 0,,PvP-Related,Kit
Weapons selection case,Unknown Author,/tp @s -30.5 51 -67.5 -180 0,,PvP-Related,Kit
"""WHOA"" Box",Jusandrew,/tp @s -29.5 51 -67.5 -180 0,,PvP-Related,Kit
XELION TRIPEX AXE,quack95,/tp @s -28.5 51 -67.5 -180 0,,PvP-Related,Kit
XxMCGAMERxX's Supply Box,XxMCGAMERxX,/tp @s -27.5 51 -67.5 -180 0,,PvP-Related,Kit
Yurni's Int Limit,Yurni,/tp @s -26.5 51 -67.5 -180 0,,PvP-Related,Kit
Yurni's Robbery Set,Yurni,/tp @s -25.5 51 -67.5 -180 0,,PvP-Related,Kit
Yurni Wanted A Pink Weapon,Yurni,/tp @s -24.5 51 -67.5 -180 0,,PvP-Related,Kit
OP ARMOR CHEST,Unknown Author,/tp @s -23.5 51 -67.5 -180 0,,PvP-Related,Kit
2B2T player's Box of Wonder's,Blacks_Shadows,/tp @s -13.5 51 -71.5 0 0,,Abuse,Kit
2koy's Emoji Griefing Box,2koy,/tp @s -14.5 51 -71.5 0 0,,Abuse,Kit
2koy's Emoji Griefing Box 1.3,2koy,/tp @s -15.5 51 -71.5 0 0,,Abuse,Kit
3gg Utility Crate,Unknown Author,/tp @s -16.5 51 -71.5 0 0,,Abuse,Kit
Alco's Funnies,Alco_Rs11,/tp @s -17.5 51 -71.5 0 0,Archivist Pick,Abuse,Kit
Ares Griefing Kit,Unknown Author,/tp @s -18.5 51 -71.5 0 0,,Abuse,Kit
Armada ForceOP V10,4ngeloid,/tp @s -19.5 51 -71.5 0 0,,Abuse,Kit
Backdoor Box,Unknown Author,/tp @s -20.5 51 -71.5 0 0,,Abuse,Kit
Backdoor Box (DEV VER),Unknown Author,/tp @s -21.5 51 -71.5 0 0,,Abuse,Kit
Blackhole Exploit Kit,FileExtension,/tp @s -22.5 51 -71.5 0 0,,Abuse,Kit
"""BombKit!""",Unknown Author,/tp @s -23.5 51 -71.5 0 0,,Abuse,Kit
Cornos Kit,Cornos,/tp @s -24.5 51 -71.5 0 0,,Abuse,Kit
Disirty's Abuse Kit,Disirty,/tp @s -25.5 51 -71.5 0 0,,Abuse,Kit
Explodings Ultimate Abuse Kit,Explodingcocos45,/tp @s -26.5 51 -71.5 0 0,,Abuse,Kit
Extensive Toolkit™ v3.4.2,Q₂,/tp @s -27.5 51 -71.5 0 0,Archivist Pick,Abuse,Kit
Force OP Kit by Earthworm1 V.1.0,Earthworm1,/tp @s -28.5 51 -71.5 0 0,,Abuse,Kit
Griefer's Kit,zYoshaa,/tp @s -29.5 51 -71.5 0 0,,Abuse,Kit
Griefing Articles 2r,1sKq,/tp @s -30.5 51 -71.5 0 0,Archivist Pick,Abuse,Kit
Hippos Grief Collection,TheRedHippo,/tp @s -13.5 49 -71.5 0 0,,Abuse,Kit
Jimmy's Toolkit,miniozoid,/tp @s -14.5 49 -71.5 0 0,,Abuse,Kit
LiquidExploits,Unknown Author,/tp @s -15.5 49 -71.5 0 0,,Abuse,Kit
Minecraft Griefing GUI V.1,Unknown Author,/tp @s -16.5 49 -71.5 0 0,,Abuse,Kit
nein4k's Legacy Crasher,nein4k,/tp @s -17.5 49 -71.5 0 0,,Abuse,Kit
Painbow,yodabird19,/tp @s -18.5 49 -71.5 0 0,,Abuse,Kit
Paperjammers Barrel Of Chaos V1,PaperJammer,/tp @s -19.5 49 -71.5 0 0,,Abuse,Kit
Server Destroy,Unknown Author,/tp @s -20.5 49 -71.5 0 0,,Abuse,Kit
Server Destroyer Box,Unknown Author,/tp @s -21.5 49 -71.5 0 0,,Abuse,Kit
SkillExploits,Unknown Author,/tp @s -22.5 49 -71.5 0 0,,Abuse,Kit
some explosives,Eczbek,/tp @s -23.5 49 -71.5 0 0,,Abuse,Kit
THE ULTIMATE GRIEFING KIT,mesmu_116,/tp @s -24.5 49 -71.5 0 0,,Abuse,Kit
Ultra Trolling Crate v2,Skylardial_0323,/tp @s -25.5 49 -71.5 0 0,,Abuse,Kit
_CookieMan's Annoying Sound,_CookieMans_,/tp @s -13.5 51 -83.5 0 0,,Utility,Kit
Alco's Funny Sound Spawn Egg,Alco_Rs11,/tp @s -14.5 51 -83.5 0 0,,Utility,Kit
ArmorStand Box,"omate06, Zozo, Kevin, MaxtheMax, Promester10",/tp @s -15.5 51 -83.5 0 0,Archivist Pick,Utility,Kit
Armor Stands,Jupiters,/tp @s -16.5 51 -83.5 0 0,,Utility,Kit
Axolotl Kit,Midnightfeather,/tp @s -17.5 51 -83.5 0 0,Archivist Pick,Utility,Kit
Axolotl Spawn Egg,Archsenal1,/tp @s -18.5 51 -83.5 0 0,,Utility,Kit
Bee kit,vajpka,/tp @s -19.5 51 -83.5 0 0,,Utility,Kit
Bossbar Kit,Unknown Author,/tp @s -20.5 51 -83.5 0 0,,Utility,Kit
Box of Doom,Unknown Author,/tp @s -21.5 51 -83.5 0 0,,Utility,Kit
Brunolator's Creative Kit,Brunolator,/tp @s -22.5 51 -83.5 0 0,Archivist Pick,Utility,Kit
Cakes with Candles,Unknown Author,/tp @s -23.5 51 -83.5 0 0,,Utility,Kit
CANNON Toolkit,Unknown Author,/tp @s -24.5 51 -83.5 0 0,,Utility,Kit
Crate of Waterlogged Blocks,"RaffyRaffy14, ToastyToes22",/tp @s -25.5 51 -83.5 0 0,,Utility,Kit
Creative Toolbox,Eczbek,/tp @s -26.5 51 -83.5 0 0,Archivist Pick,Utility,Kit
Circle Command Bundle,enderples,/tp @s -27.5 51 -83.5 0 0,,Utility,Kit
Circle Kit,Katsuo,/tp @s -28.5 51 -83.5 0 0,,Utility,Kit
CommandMasterXD Generators,CommandMasterXD,/tp @s -29.5 51 -83.5 0 0,,Utility,Kit
CrackThrough's Ultimate CMB Tools v1 (Type 1),CrackThrough,/tp @s -30.5 51 -83.5 0 0,,Utility,Kit
Custom Armorstands,bigboypadilla,/tp @s -13.5 49 -83.5 0 0,,Utility,Kit
Delta's Portable Music-Box,Deltaxe,/tp @s -14.5 49 -83.5 0 0,Archivist Pick,Utility,Kit
Detached Blocks,Unknown Author,/tp @s -15.5 49 -83.5 0 0,,Utility,Kit
Enchants,Dys,/tp @s -16.5 49 -83.5 0 0,,Utility,Kit
Explosion-Proof Blocks 1,enderples,/tp @s -17.5 49 -83.5 0 0,,Utility,Kit
Explosion-Proof Blocks 2,enderples,/tp @s -18.5 49 -83.5 0 0,,Utility,Kit
Explosive,WaterPixelMc,/tp @s -19.5 49 -83.5 0 0,,Utility,Kit
Extended Building Blocks,keyshujin,/tp @s -20.5 49 -83.5 0 0,Archivist Pick,Utility,Kit
Fireball Block Command Bundle,enderples,/tp @s -21.5 49 -83.5 0 0,,Utility,Kit
Food Player Head,Unknown Author,/tp @s -22.5 49 -83.5 0 0,,Utility,Kit
Food Saturation Info,vajpka,/tp @s -23.5 49 -83.5 0 0,,Utility,Kit
GMCkits Utility Book Box,Misc. Authors,/tp @s -24.5 49 -83.5 0 0,,Utility,Kit
Gradients,Unknown Author,/tp @s -25.5 49 -83.5 0 0,Archivist Pick,Utility,Kit
Improper Issues,ImproperIssues,/tp @s -26.5 49 -83.5 0 0,Archivist Pick,Utility,Kit
Katsuo's Bookend,Katsuo,/tp @s -27.5 49 -83.5 0 0,,Utility,Kit
keli5's Elemental Fireworks,keli5,/tp @s -28.5 49 -83.5 0 0,,Utility,Kit
keyshujin's Utility Pack,keyshujin,/tp @s -29.5 49 -83.5 0 0,,Utility,Kit
LeoTheRavioli's Fireworks,LeoTheRavioli,/tp @s -30.5 49 -83.5 0 0,,Utility,Kit
Light Box,Unknown Author,/tp @s -13.5 47 -83.5 0 0,,Utility,Kit
Mango's Firework Kit V1,Unknown Author,/tp @s -14.5 47 -83.5 0 0,,Utility,Kit
Map Maker Kit,CkreaM,/tp @s -15.5 47 -83.5 0 0,,Utility,Kit
minecraft colored pots,antigamesm12,/tp @s -16.5 47 -83.5 0 0,,Utility,Kit
Missing Potions,keyshujin,/tp @s -17.5 47 -83.5 0 0,Archivist Pick,Utility,Kit
Missing Spawn Eggs,keyshujin,/tp @s -18.5 47 -83.5 0 0,Archivist Pick,Utility,Kit
Multicolored Potions,Unknown Author,/tp @s -19.5 47 -83.5 0 0,,Utility,Kit
Night Shulker,Zozo,/tp @s -20.5 47 -83.5 0 0,Archivist Pick,Utility,Kit
Parkour Toolkit,Unknown Author,/tp @s -21.5 47 -83.5 0 0,,Utility,Kit
Rainbow Helmets & Chestplates,RyanUwU,/tp @s -22.5 47 -83.5 0 0,,Utility,Kit
Rainbow Leggings & Boots,RyanUwU,/tp @s -23.5 47 -83.5 0 0,,Utility,Kit
Rainbow Horse Armor,RyanUwU,/tp @s -24.5 47 -83.5 0 0,,Utility,Kit
Rainbow Lingering Potions,RyanUwU,/tp @s -25.5 47 -83.5 0 0,,Utility,Kit
Rainbow Maps & Arrows,RyanUwU,/tp @s -26.5 47 -83.5 0 0,,Utility,Kit
Rainbow Potions,RyanUwU,/tp @s -27.5 47 -83.5 0 0,,Utility,Kit
RainbowPots,Unknown Author,/tp @s -28.5 47 -83.5 0 0,,Utility,Kit
//replace proof Blocks 1,bigboypadilla,/tp @s -29.5 47 -83.5 0 0,,Utility,Kit
//replace proof Blocks 2,bigboypadilla,/tp @s -30.5 47 -83.5 0 0,,Utility,Kit
Requals' Block Box,Requals,/tp @s -13.5 45 -83.5 0 0,,Utility,Kit
Sanskari's Essentials,SanskariSVK,/tp @s -14.5 45 -83.5 0 0,,Utility,Kit
SanskariSVK's Blatant Kits,SanskariSVK,/tp @s -15.5 45 -83.5 0 0,,Utility,Kit
Shadow Utility V0.0.2,jsco,/tp @s -16.5 45 -83.5 0 0,,Utility,Kit
Spawn Eggs v2,Unknown Author,/tp @s -17.5 45 -83.5 0 0,Archivist Pick,Utility,Kit
Structure Chest Loot Tables 1,bigboypadilla,/tp @s -18.5 45 -83.5 0 0,,Utility,Kit
Structure Chest Loot Tables 2,bigboypadilla,/tp @s -19.5 45 -83.5 0 0,,Utility,Kit
Synsao's Build Box [1],Synsao,/tp @s -20.5 45 -83.5 0 0,,Utility,Kit
The-Compound,sprakeilous,/tp @s -21.5 45 -83.5 0 0,,Utility,Kit
These Blocks Don't Exist,bigboypadilla,/tp @s -22.5 45 -83.5 0 0,,Utility,Kit
Toxic and Agent's Funny Box,"AgentGamerPro, CqllMeToxic",/tp @s -23.5 45 -83.5 0 0,,Utility,Kit
U.M KIT,"UnstableMagic, 55zX",/tp @s -24.5 45 -83.5 0 0,,Utility,Kit
Unobtainable Items,DogeisCut,/tp @s -25.5 45 -83.5 0 0,,Utility,Kit
Unobtainable Items,bigboypadilla,/tp @s -26.5 45 -83.5 0 0,,Utility,Kit
Unobtainable Items in Survival,bigboypadilla,/tp @s -27.5 45 -83.5 0 0,,Utility,Kit
Unopenable Shulker,enderples,/tp @s -28.5 45 -83.5 0 0,,Utility,Kit
Vertical Slabs,keyshujin,/tp @s -29.5 45 -83.5 0 0,Archivist Pick,Utility,Kit
!!!!!,billy7oblos,/tp @s -13.5 51 -95.5 0 0,,Misc. Func.,Kit
[ezkits] kit,Unknown Author,/tp @s -14.5 51 -95.5 0 0,,Misc. Func.,Kit
127 Filled Dispensers,bigboypadilla,/tp @s -15.5 51 -95.5 0 0,,Misc. Func.,Kit
Adventure MOde Items,GoatHorn,/tp @s -16.5 51 -95.5 0 0,,Misc. Func.,Kit
Albert's Fun Items,Unknown Author,/tp @s -17.5 51 -95.5 0 0,,Misc. Func.,Kit
All Nacho4785's Items,Nacho4785,/tp @s -18.5 51 -95.5 0 0,,Misc. Func.,Kit
Altfox's Ultra Kit,altfox,/tp @s -19.5 51 -95.5 0 0,,Misc. Func.,Kit
amogus shulker,Unknown Author,/tp @s -20.5 51 -95.5 0 0,,Misc. Func.,Kit
Backroom Shulker,Kaninchenfurz24,/tp @s -21.5 51 -95.5 0 0,,Misc. Func.,Kit
Backroom Shulker +,Kaninchenfurz24,/tp @s -22.5 51 -95.5 0 0,,Misc. Func.,Kit
KaddicusAlmighty's Beskar'gam & Weapons,Kadalyst,/tp @s -23.5 51 -95.5 0 0,,Misc. Func.,Kit
BINGZING,billy7oblos,/tp @s -24.5 51 -95.5 0 0,,Misc. Func.,Kit
Bleach's Negative Items,Unknown Author,/tp @s -25.5 51 -95.5 0 0,,Misc. Func.,Kit
Bleaches Stacked Items,Unknown Author,/tp @s -26.5 51 -95.5 0 0,,Misc. Func.,Kit
block spawn eggs part 1,Unknown Author,/tp @s -27.5 51 -95.5 0 0,,Misc. Func.,Kit
Box O Bosses,Unknown Author,/tp @s -28.5 51 -95.5 0 0,,Misc. Func.,Kit
BRO BOX,NukeCoderX,/tp @s -29.5 51 -95.5 0 0,,Misc. Func.,Kit
BUILDER BOX,NukeCoderX,/tp @s -30.5 51 -95.5 0 0,,Misc. Func.,Kit
Chaotixu's Ultimate Kit v0.1,Chaotixu,/tp @s -13.5 49 -95.5 0 0,,Misc. Func.,Kit
Chaotixu's Ultimate Kit v0.2,Chaotixu,/tp @s -14.5 49 -95.5 0 0,,Misc. Func.,Kit
Chaos Box 1,Unknown Author,/tp @s -15.5 49 -95.5 0 0,,Misc. Func.,Kit
Chaos Box 2,Unknown Author,/tp @s -16.5 49 -95.5 0 0,,Misc. Func.,Kit
Chaos Box 3,Unknown Author,/tp @s -17.5 49 -95.5 0 0,,Misc. Func.,Kit
Chaos Box 4,Unknown Author,/tp @s -18.5 49 -95.5 0 0,,Misc. Func.,Kit
Chaos Box 5,Unknown Author,/tp @s -19.5 49 -95.5 0 0,,Misc. Func.,Kit
Chaos Box 6,Unknown Author,/tp @s -20.5 49 -95.5 0 0,,Misc. Func.,Kit
Chaos Box 7,Unknown Author,/tp @s -21.5 49 -95.5 0 0,,Misc. Func.,Kit
Chungus Light (4 pk.),Reperak,/tp @s -22.5 49 -95.5 0 0,,Misc. Func.,Kit
CoolMob_EggsAndStuff,Unknown Author,/tp @s -23.5 49 -95.5 0 0,,Misc. Func.,Kit
Covid Briefcase,antigamesm12,/tp @s -24.5 49 -95.5 0 0,,Misc. Func.,Kit
Custom Mobs,ImproperIssues,/tp @s -25.5 49 -95.5 0 0,Archivist Pick,Misc. Func.,Kit
Custom Spawn Eggs 1,bigboypadilla,/tp @s -26.5 49 -95.5 0 0,,Misc. Func.,Kit
Custom Spawn Eggs 1,bigboypadilla,/tp @s -27.5 49 -95.5 0 0,,Misc. Func.,Kit
Custom Tools,Eczbek,/tp @s -28.5 49 -95.5 0 0,,Misc. Func.,Kit
Cyb3x's Kit,Cyb3x,/tp @s -29.5 49 -95.5 0 0,,Misc. Func.,Kit
Dodo Crate,_cor3y_,/tp @s -30.5 49 -95.5 0 0,,Misc. Func.,Kit
DogeisCut's Wacky Box of Fun,DogeisCut,/tp @s -13.5 47 -95.5 0 0,,Misc. Func.,Kit
Founders Items,Jackthefounder,/tp @s -15.5 47 -95.5 0 0,,Misc. Func.,Kit
Griefer kit v1 ORIGINAL,0l1vier,/tp @s -16.5 47 -95.5 0 0,,Misc. Func.,Kit
GRIEFING box,PrinceWasTaken,/tp @s -17.5 47 -95.5 0 0,,Misc. Func.,Kit
Hacked eggs,Unknown Author,/tp @s -18.5 47 -95.5 0 0,,Misc. Func.,Kit
Harmless spawn eggs,Unknown Author,/tp @s -19.5 47 -95.5 0 0,,Misc. Func.,Kit
hiJxCKR's B4CKP4CK,hiJxCKR,/tp @s -20.5 47 -95.5 0 0,,Misc. Func.,Kit
Horror,Unknown Author,/tp @s -21.5 47 -95.5 0 0,,Misc. Func.,Kit
Humanity's Withdrawal,nohoeslolol,/tp @s -22.5 47 -95.5 0 0,,Misc. Func.,Kit
Illegal,billy7oblos,/tp @s -23.5 47 -95.5 0 0,,Misc. Func.,Kit
Illuminati Elytra Crate,Unknown Author,/tp @s -24.5 47 -95.5 0 0,,Misc. Func.,Kit
Infliction Blade + Setup,Unknown Author,/tp @s -26.5 47 -95.5 0 0,,Misc. Func.,Kit
instinctual's TotalFreedom lootbox,Unknown Author,/tp @s -27.5 47 -95.5 0 0,,Misc. Func.,Kit
Interesting Blocks,bigboypadilla,/tp @s -28.5 47 -95.5 0 0,,Misc. Func.,Kit
Interesting Blocks 2,bigboypadilla,/tp @s -29.5 47 -95.5 0 0,,Misc. Func.,Kit
Interesting Items,bigboypadilla,/tp @s -30.5 47 -95.5 0 0,,Misc. Func.,Kit
Kill Aura Box,Kaninchenfurz24,/tp @s -13.5 45 -95.5 0 0,,Misc. Func.,Kit
Kit of Kits,greensilver,/tp @s -14.5 45 -95.5 0 0,,Misc. Func.,Kit
knot my shopz,Unknown Author,/tp @s -15.5 45 -95.5 0 0,,Misc. Func.,Kit
Labs Inc Signs,quack95,/tp @s -16.5 45 -95.5 0 0,,Misc. Func.,Kit
Locked Buttons,bigboypadilla,/tp @s -17.5 45 -95.5 0 0,,Misc. Func.,Kit
Locked Pressure Plates,bigboypadilla,/tp @s -18.5 45 -95.5 0 0,,Misc. Func.,Kit
Locked Shulkers,bigboypadilla,/tp @s -19.5 45 -95.5 0 0,,Misc. Func.,Kit
Locked Storage,bigboypadilla,/tp @s -20.5 45 -95.5 0 0,,Misc. Func.,Kit
Loot Boxes,okmomo,/tp @s -21.5 45 -95.5 0 0,,Misc. Func.,Kit
Lumen Box,NukeCoderX,/tp @s -22.5 45 -95.5 0 0,,Misc. Func.,Kit
Maylee's Server Breaker,Unknown Author,/tp @s -23.5 45 -95.5 0 0,,Misc. Func.,Kit
MDCustom Crate,Emphacks,/tp @s -24.5 45 -95.5 0 0,,Misc. Func.,Kit
Meltdown [ULTRA],greensilver,/tp @s -25.5 45 -95.5 0 0,,Misc. Func.,Kit
Midnight's epic spawn eggs,Unknown Author,/tp @s -26.5 45 -95.5 0 0,,Misc. Func.,Kit
Mini Boss Package V1.0,LordTortoise64,/tp @s -27.5 45 -95.5 0 0,,Misc. Func.,Kit
Mini Boss Package V3,LordTortoise64,/tp @s -28.5 45 -95.5 0 0,,Misc. Func.,Kit
Mob Mallicia,Katsuo,/tp @s -29.5 45 -95.5 0 0,,Misc. Func.,Kit
Moderation Kit,Unknown Author,/tp @s -30.5 45 -95.5 0 0,,Misc. Func.,Kit
Moon's Unobtainables,Unknown Author,/tp @s -13.5 43 -95.5 0 0,,Misc. Func.,Kit
NBT Research,xfilez,/tp @s -14.5 43 -95.5 0 0,Archivist Pick,Misc. Func.,Kit
Non-Existant Potions,DogeisCut,/tp @s -15.5 43 -95.5 0 0,,Misc. Func.,Kit
Oclyc's Awesome Shulker Box!,Oclyc,/tp @s -16.5 43 -95.5 0 0,,Misc. Func.,Kit
Oclyc's Goodie Box,Oclyc,/tp @s -17.5 43 -95.5 0 0,,Misc. Func.,Kit
Omega Humane Kit,BuildingAbyss90,/tp @s -18.5 43 -95.5 0 0,,Misc. Func.,Kit
Omega Ultimate Eggs V9,Unknown Author,/tp @s -19.5 43 -95.5 0 0,,Misc. Func.,Kit
OPEggs,Unknown Author,/tp @s -20.5 43 -95.5 0 0,,Misc. Func.,Kit
Particle Spawn Eggs (wip),enderples,/tp @s -21.5 43 -95.5 0 0,,Misc. Func.,Kit
Particle Spawn Eggs 1,enderples,/tp @s -22.5 43 -95.5 0 0,,Misc. Func.,Kit
Pickaxe Box,Unknown Author,/tp @s -23.5 43 -95.5 0 0,,Misc. Func.,Kit
Quartz_Playah's Jumbo Kit,Quartz_Playah,/tp @s -24.5 43 -95.5 0 0,,Misc. Func.,Kit
Quartz_Playah's Jumbo Kit 2.0,Quartz_Playah,/tp @s -25.5 43 -95.5 0 0,,Misc. Func.,Kit
Random OP Kit,Unknown Author,/tp @s -26.5 43 -95.5 0 0,,Misc. Func.,Kit
RankKit,Unknown Author,/tp @s -27.5 43 -95.5 0 0,,Misc. Func.,Kit
Ricardo Boss Fight,Hamis65,/tp @s -28.5 43 -95.5 0 0,,Misc. Func.,Kit
Saturn's Hack V1,saturn5vfive,/tp @s -29.5 43 -95.5 0 0,,Misc. Func.,Kit
Saturn's Spawn Eggs V2,saturn5vfive,/tp @s -30.5 43 -95.5 0 0,,Misc. Func.,Kit
Saturn's Hacked Blocks V3,saturn5vfive,/tp @s -13.5 41 -95.5 0 0,,Misc. Func.,Kit
SBOFBox,Unknown Author,/tp @s -14.5 41 -95.5 0 0,,Misc. Func.,Kit
Shulkia Brew Box,Unknown Author,/tp @s -15.5 41 -95.5 0 0,,Misc. Func.,Kit
sithvsjedi's potions,sithvsjedi,/tp @s -16.5 41 -95.5 0 0,,Misc. Func.,Kit
Sonic Boom Sword,Unknown Author,/tp @s -17.5 41 -95.5 0 0,,Misc. Func.,Kit
Spawn Egg BS,SuperRyn,/tp @s -18.5 41 -95.5 0 0,,Misc. Func.,Kit
Spawner Box,NukeCoderX,/tp @s -19.5 41 -95.5 0 0,,Misc. Func.,Kit
Special Research,xfilez,/tp @s -20.5 41 -95.5 0 0,Archivist Pick,Misc. Func.,Kit
Spinning Particle Effect,Unknown Author,/tp @s -21.5 41 -95.5 0 0,,Misc. Func.,Kit
Stuff that was patched out long ago,Unknown Author,/tp @s -22.5 41 -95.5 0 0,,Misc. Func.,Kit
SuckPax Rejects Collection,Unknown Author,/tp @s -23.5 41 -95.5 0 0,,Misc. Func.,Kit
Tanus Utility's,Tanukimario,/tp @s -24.5 41 -95.5 0 0,,Misc. Func.,Kit
Technical Block Spawn Eggs,bigboypadilla,/tp @s -25.5 41 -95.5 0 0,,Misc. Func.,Kit
Test Barrel,WolfySam,/tp @s -26.5 41 -95.5 0 0,,Misc. Func.,Kit
The BEST Barrel,Unknown Author,/tp @s -27.5 41 -95.5 0 0,,Misc. Func.,Kit
The Command Box,Unknown Author,/tp @s -28.5 41 -95.5 0 0,,Misc. Func.,Kit
The Exclusive Katsuo's Originals,Katsuo,/tp @s -29.5 41 -95.5 0 0,,Misc. Func.,Kit
The Golf Set,Unknown Author,/tp @s -30.5 41 -95.5 0 0,,Misc. Func.,Kit
The Missing Eggs,Unknown Author,/tp @s -30.5 51 -95.5 90 0,,Misc. Func.,Kit
TheTroll2001's Box of 32k's,TheTroll2001,/tp @s -30.5 51 -96.5 0 0,,Misc. Func.,Kit
TheTroll2001's Mega Abusive Shulker,TheTroll2001,/tp @s -30.5 51 -97.5 0 0,,Misc. Func.,Kit
The Ultimate Katsuo Kit,Katsuo,/tp @s -30.5 51 -98.5 0 0,,Misc. Func.,Kit
The Ultimate Technoblade,Luneiter,/tp @s -30.5 51 -99.5 0 0,,Misc. Func.,Kit
ThirtyFangs Legacy Kit,ThirtyFangs,/tp @s -30.5 51 -100.5 0 0,,Misc. Func.,Kit
Thirty Kits,ThirtyFangs,/tp @s -30.5 51 -101.5 0 0,,Misc. Func.,Kit
TopG's Custom Eggs V1,TopG,/tp @s -30.5 51 -102.5 0 0,,Misc. Func.,Kit
Tr4mp's Suspicious Spawn Eggs,Tr4mp,/tp @s -30.5 51 -103.5 0 0,,Misc. Func.,Kit
Ultimate Katsuo Kit V2,Katsuo,/tp @s -30.5 49 -95.5 90 0,,Misc. Func.,Kit
Vanilla's Griefing Box,Daneeko,/tp @s -30.5 49 -96.5 90 0,,Misc. Func.,Kit
Voidspawns,Unknown Author,/tp @s -30.5 49 -97.5 0 0,,Misc. Func.,Kit
Weaponized Enemy Spawn Eggs,bigboypadilla,/tp @s -30.5 49 -98.5 0 0,,Misc. Func.,Kit
Weasley's Wildfire Whiz-Bangs: Deflagration Deluxe,Kadalyst,/tp @s -30.5 49 -99.5 0 0,,Misc. Func.,Kit
we have wormhole at home,Unknown Author,/tp @s -30.5 49 -100.5 0 0,,Misc. Func.,Kit
World Edit,Ganondorf629,/tp @s -30.5 49 -101.5 0 0,,Misc. Func.,Kit
Youtuber Join Troll,Unknown Author,/tp @s -30.5 49 -102.5 0 0,,Misc. Func.,Kit
Zombob Shulker,Unknown Author,/tp @s -30.5 49 -103.5 0 0,,Misc. Func.,Kit
0800_Hybrid Legacy Kit,"0800_Hybrid, antigamesm12",/tp @s 14.5 51 -35.5 0 0,,Lore,Kit
0800_Hybrid's 1.6 MCPE Flowers,0800_Hybrid,/tp @s 15.5 51 -35.5 0 0,,Lore,Kit
Achromos,Feueristic,/tp @s 16.5 51 -35.5 0 0,Archivist Pick,Lore,Kit
AGENDA KIT,CoolestGuy94,/tp @s 17.5 51 -35.5 0 0,,Lore,Kit
A Gift - Odalys,Odalys,/tp @s 18.5 51 -35.5 0 0,Archivist Pick,Lore,Kit
Anti-MKW Colab Box,"antigamesm12, MarioKartWii",/tp @s 19.5 51 -35.5 0 0,Archivist Pick,Lore,Kit
Anti's Box of **** v1.0,antigamesm12,/tp @s 20.5 51 -35.5 0 0,,Lore,Kit
